,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note,Tiri,Dist.,Pun.,Rigori,Rig T,Stagione,Squadra
39,04-06-2023,21:00,Serie A,Giornata n. 38,Dom,Casa,P,0,1,Juventus,0.8,1.3,43.0,23.266,Roberto Pereyra,3-4-3,Marco Guida,Report partita,,13.0,229.0,0.0,0,0,2023,Udinese
1,15-08-2022,20:45,Serie A,Giornata n. 1,Lun,Ospiti,P,0,3,Juventus,0.9,2.0,58.0,38.725,Gian Marco Ferrari,4-3-3,Antonio Rapuano,Report partita,,19.0,235.0,0.0,0,0,2023,Sassuolo
2,20-08-2022,20:45,Serie A,Giornata n. 2,Sab,Casa,V,1,0,Lecce,0.6,0.5,59.0,9.219,Gian Marco Ferrari,4-3-3,Andrea Colombo,Report partita,,12.0,207.0,2.0,0,0,2023,Sassuolo
3,27-08-2022,20:45,Serie A,Giornata n. 3,Sab,Ospiti,N,2,2,Spezia,2.8,1.2,57.0,6.5,Gian Marco Ferrari,4-3-3,Francesco Cosso,Report partita,,21.0,132.0,0.0,0,0,2023,Sassuolo
4,30-08-2022,18:30,Serie A,Giornata n. 4,Mar,Casa,N,0,0,Milan,1.1,0.7,38.0,18.053,Gian Marco Ferrari,4-3-3,Giovanni Ayroldi,Report partita,,7.0,212.0,0.0,0,1,2023,Sassuolo
5,04-09-2022,12:30,Serie A,Giornata n. 5,Dom,Ospiti,N,0,0,Cremonese,1.5,0.4,54.0,9.105,Gian Marco Ferrari,4-3-3,Luca Pairetto,Report partita,,17.0,152.0,2.0,0,0,2023,Sassuolo
6,11-09-2022,15:00,Serie A,Giornata n. 6,Dom,Casa,P,1,3,Udinese,0.5,2.1,33.0,8.694,Gian Marco Ferrari,4-3-3,Giacomo Camplone,Report partita,,5.0,175.0,1.0,0,0,2023,Sassuolo
7,17-09-2022,20:45,Serie A,Giornata n. 7,Sab,Ospiti,V,1,0,Torino,0.4,0.7,43.0,14.822,Gian Marco Ferrari,4-3-3,Niccolò Baroni,Report partita,,10.0,199.0,1.0,0,0,2023,Sassuolo
8,02-10-2022,15:00,Serie A,Giornata n. 8,Dom,Casa,V,5,0,Salernitana,3.2,0.5,44.0,15.786,Gian Marco Ferrari,4-3-3,Maria Sole Ferrieri Caputi,Report partita,,16.0,180.0,0.0,1,1,2023,Sassuolo
9,08-10-2022,15:00,Serie A,Giornata n. 9,Sab,Casa,P,1,2,Inter,1.2,2.3,52.0,17.574,Gian Marco Ferrari,4-3-3,Simone Sozza,Report partita,,15.0,145.0,0.0,0,0,2023,Sassuolo
10,15-10-2022,20:45,Serie A,Giornata n. 10,Sab,Ospiti,P,1,2,Atalanta,0.8,2.5,52.0,17.772,Gian Marco Ferrari,4-3-3,Matteo Marcenaro,Report partita,,11.0,168.0,0.0,0,0,2023,Sassuolo
11,24-10-2022,20:45,Serie A,Giornata n. 11,Lun,Casa,V,2,1,Hellas Verona,1.5,1.4,51.0,11.368,Andrea Consigli,4-3-3,Alberto Santoro,Report partita,,14.0,153.0,1.0,0,0,2023,Sassuolo
12,29-10-2022,15:00,Serie A,Giornata n. 12,Sab,Ospiti,P,0,4,Napoli,1.0,2.1,33.0,45.0,Gian Marco Ferrari,4-3-3,Antonio Rapuano,Report partita,,10.0,199.0,0.0,0,0,2023,Sassuolo
13,05-11-2022,15:00,Serie A,Giornata n. 13,Sab,Ospiti,P,0,1,Empoli,0.6,1.2,53.0,7.834,Gian Marco Ferrari,4-3-3,Ermanno Feliciani,Report partita,,10.0,192.0,1.0,0,0,2023,Sassuolo
14,09-11-2022,18:30,Serie A,Giornata n. 14,Mer,Casa,N,1,1,Roma,1.2,0.7,46.0,16.665,Gian Marco Ferrari,4-3-3,Giovanni Ayroldi,Report partita,,15.0,211.0,0.0,0,0,2023,Sassuolo
15,12-11-2022,20:45,Serie A,Giornata n. 15,Sab,Ospiti,P,0,3,Bologna,0.8,0.8,49.0,20.811,Gian Marco Ferrari,4-3-3,Ivan Pezzuto,Report partita,,9.0,183.0,1.0,0,0,2023,Sassuolo
16,04-01-2023,12:30,Serie A,Giornata n. 16,Mer,Casa,P,1,2,Sampdoria,1.8,1.3,67.0,8.0,Gian Marco Ferrari,4-3-3,Fabio Maresca,Report partita,,15.0,201.0,0.0,1,1,2023,Sassuolo
17,07-01-2023,15:00,Serie A,Giornata n. 17,Sab,Ospiti,P,1,2,Fiorentina,1.6,2.2,47.0,29.695,Gian Marco Ferrari,4-3-3,Gianluca Manganiello,Report partita,,15.0,204.0,1.0,1,1,2023,Sassuolo
18,15-01-2023,12:30,Serie A,Giornata n. 18,Dom,Casa,P,0,2,Lazio,0.7,2.7,50.0,10.0,Domenico Berardi,4-2-3-1,Luca Pairetto,Report partita,,12.0,162.0,0.0,0,0,2023,Sassuolo
19,22-01-2023,15:00,Serie A,Giornata n. 19,Dom,Ospiti,N,1,1,Monza,1.5,1.5,39.0,10.2,Gian Marco Ferrari,4-2-3-1,Alessandro Prontera,Report partita,,13.0,196.0,0.0,0,0,2023,Sassuolo
20,29-01-2023,12:30,Serie A,Giornata n. 20,Dom,Ospiti,V,5,2,Milan,2.2,0.6,40.0,70.428,Andrea Consigli,4-2-3-1,Antonio Giua,Report partita,,8.0,175.0,0.0,1,1,2023,Sassuolo
21,04-02-2023,20:45,Serie A,Giornata n. 21,Sab,Casa,V,1,0,Atalanta,1.3,0.5,53.0,12.611,Andrea Consigli,4-3-3,Matteo Marcenaro,Report partita,,18.0,214.0,2.0,0,0,2023,Sassuolo
22,12-02-2023,12:30,Serie A,Giornata n. 22,Dom,Ospiti,N,2,2,Udinese,0.7,1.6,53.0,20.912,Andrea Consigli,4-3-3,Ivan Pezzuto,Report partita,,6.0,134.0,0.0,0,0,2023,Sassuolo
23,17-02-2023,20:45,Serie A,Giornata n. 23,Ven,Casa,P,0,2,Napoli,0.8,1.6,40.0,15.911,Andrea Consigli,4-3-3,Andrea Colombo,Report partita,,11.0,165.0,1.0,0,0,2023,Sassuolo
24,25-02-2023,20:45,Serie A,Giornata n. 24,Sab,Ospiti,V,1,0,Lecce,1.1,1.2,58.0,23.76,Andrea Consigli,4-3-3,Niccolò Baroni,Report partita,,7.0,133.0,1.0,0,0,2023,Sassuolo
25,06-03-2023,18:30,Serie A,Giornata n. 25,Lun,Casa,V,3,2,Cremonese,1.0,1.2,54.0,11.587,Andrea Consigli,4-3-3,Francesco Fourneau,Report partita,,13.0,197.0,1.0,0,0,2023,Sassuolo
26,12-03-2023,18:00,Serie A,Giornata n. 26,Dom,Ospiti,V,4,3,Roma,3.5,1.5,46.0,60.816,Gian Marco Ferrari,4-3-3,Michael Fabbri,Report partita,,18.0,171.0,2.0,1,1,2023,Sassuolo
27,17-03-2023,18:30,Serie A,Giornata n. 27,Ven,Casa,V,1,0,Spezia,2.0,0.7,45.0,11.152,Gian Marco Ferrari,4-3-3,Davide Ghersini,Report partita,,14.0,213.0,0.0,1,1,2023,Sassuolo
28,03-04-2023,20:45,Serie A,Giornata n. 28,Lun,Casa,N,1,1,Torino,1.1,1.7,48.0,12.896,Gian Marco Ferrari,4-3-3,Ivan Pezzuto,Report partita,,12.0,198.0,1.0,0,0,2023,Sassuolo
29,08-04-2023,18:30,Serie A,Giornata n. 29,Sab,Ospiti,P,1,2,Hellas Verona,1.8,0.5,60.0,23.66,Andrea Consigli,4-3-3,Francesco Fourneau,Report partita,,17.0,160.0,0.0,0,0,2023,Sassuolo
30,16-04-2023,18:00,Serie A,Giornata n. 30,Dom,Casa,V,1,0,Juventus,0.9,1.1,41.0,19.566,Andrea Consigli,4-3-3,Antonio Rapuano,Report partita,,11.0,150.0,0.0,0,0,2023,Sassuolo
31,22-04-2023,15:00,Serie A,Giornata n. 31,Sab,Ospiti,P,0,3,Salernitana,0.7,1.3,53.0,23.06,Gian Marco Ferrari,4-3-3,Giacomo Camplone,Report partita,,11.0,177.0,1.0,0,0,2023,Sassuolo
32,30-04-2023,15:00,Serie A,Giornata n. 32,Dom,Casa,V,2,1,Empoli,1.8,0.4,57.0,10.267,Andrea Consigli,4-3-3,Federico Dionisi,Report partita,,12.0,163.0,0.0,1,1,2023,Sassuolo
33,03-05-2023,21:00,Serie A,Giornata n. 33,Mer,Ospiti,P,0,2,Lazio,0.9,1.9,52.0,35.0,Gian Marco Ferrari,4-3-3,Massimiliano Irrati,Report partita,,13.0,168.0,1.0,0,0,2023,Sassuolo
34,08-05-2023,20:45,Serie A,Giornata n. 34,Lun,Casa,N,1,1,Bologna,0.3,0.5,48.0,13.664,Andrea Consigli,4-3-3,Maria Sole Ferrieri Caputi,Report partita,,6.0,208.0,0.0,0,0,2023,Sassuolo
35,13-05-2023,20:45,Serie A,Giornata n. 35,Sab,Ospiti,P,2,4,Inter,2.3,1.4,49.0,71.246,Andrea Consigli,4-3-3,Matteo Marcenaro,Report partita,,16.0,172.0,0.0,0,0,2023,Sassuolo
36,19-05-2023,20:45,Serie A,Giornata n. 36,Ven,Casa,P,1,2,Monza,1.6,1.6,44.0,11.745,Andrea Consigli,4-3-3,Alberto Santoro,Report partita,,12.0,187.0,0.0,1,1,2023,Sassuolo
37,26-05-2023,20:45,Serie A,Giornata n. 37,Ven,Ospiti,N,2,2,Sampdoria,2.9,2.2,52.0,18.43,Gian Marco Ferrari,4-3-3,Francesco Meraviglia,Report partita,,22.0,158.0,0.0,0,0,2023,Sassuolo
38,02-06-2023,20:30,Serie A,Giornata n. 38,Ven,Casa,P,1,3,Fiorentina,1.1,1.6,51.0,12.456,Gian Marco Ferrari,4-3-3,Matteo Marchetti,Report partita,,4.0,171.0,0.0,1,1,2023,Sassuolo
1,14-08-2022,20:45,Serie A,Giornata n. 1,Dom,Ospiti,P,0,1,Spezia,0.7,0.5,59.0,8.36,Filippo Bandinelli,4-3-1-2,Daniele Chiffi,Report partita,,18.0,234.0,1.0,0,0,2023,Empoli
2,21-08-2022,18:30,Serie A,Giornata n. 2,Dom,Casa,N,0,0,Fiorentina,0.4,0.7,37.0,10.411,Filippo Bandinelli,4-3-1-2,Matteo Marchetti,Report partita,,4.0,137.0,0.0,0,0,2023,Empoli
3,28-08-2022,20:45,Serie A,Giornata n. 3,Dom,Ospiti,N,1,1,Lecce,0.4,0.9,59.0,23.941,Filippo Bandinelli,4-3-1-2,Alberto Santoro,Report partita,,9.0,232.0,1.0,0,0,2023,Empoli
4,31-08-2022,18:30,Serie A,Giornata n. 4,Mer,Casa,N,1,1,Hellas Verona,1.1,0.6,52.0,7.269,Filippo Bandinelli,4-3-1-2,Marco Serra,Report partita,,16.0,230.0,1.0,0,0,2023,Empoli
5,05-09-2022,18:30,Serie A,Giornata n. 5,Lun,Ospiti,N,2,2,Salernitana,0.9,1.3,49.0,18.173,Sebastiano Luperto,4-3-1-2,Rosario Abisso,Report partita,,11.0,167.0,0.0,0,0,2023,Empoli
6,12-09-2022,20:45,Serie A,Giornata n. 6,Lun,Casa,P,1,2,Roma,1.1,3.0,52.0,4.56,Filippo Bandinelli,4-3-1-2,Livio Marinelli,Report partita,,20.0,187.0,1.0,0,0,2023,Empoli
7,17-09-2022,15:00,Serie A,Giornata n. 7,Sab,Ospiti,V,1,0,Bologna,1.6,1.6,39.0,15.67,Filippo Bandinelli,4-3-1-2,Manuel Volpi,Report partita,,12.0,161.0,0.0,0,0,2023,Empoli
8,01-10-2022,20:45,Serie A,Giornata n. 8,Sab,Casa,P,1,3,Milan,1.1,2.3,43.0,15.497,Sebastiano Luperto,4-3-1-2,Gianluca Aureliano,Report partita,,16.0,173.0,1.0,0,0,2023,Empoli
9,09-10-2022,12:30,Serie A,Giornata n. 9,Dom,Ospiti,N,1,1,Torino,0.2,2.4,34.0,16.793,Filippo Bandinelli,4-3-1-2,Francesco Fourneau,Report partita,,6.0,271.0,0.0,0,0,2023,Empoli
10,15-10-2022,15:00,Serie A,Giornata n. 10,Sab,Casa,V,1,0,Monza,1.8,1.3,36.0,7.258,Filippo Bandinelli,4-3-1-2,Antonio Rapuano,Report partita,,11.0,118.0,0.0,0,0,2023,Empoli
11,21-10-2022,20:45,Serie A,Giornata n. 11,Ven,Ospiti,P,0,4,Juventus,0.7,3.5,58.0,37.771,Filippo Bandinelli,4-3-1-2,Michael Fabbri,Report partita,,12.0,200.0,1.0,0,0,2023,Empoli
12,30-10-2022,12:30,Serie A,Giornata n. 12,Dom,Casa,P,0,2,Atalanta,0.8,3.0,53.0,8.74,Filippo Bandinelli,4-3-3,Giovanni Ayroldi,Report partita,,13.0,196.0,1.0,0,0,2023,Empoli
13,05-11-2022,15:00,Serie A,Giornata n. 13,Sab,Casa,V,1,0,Sassuolo,1.2,0.6,47.0,7.834,Filippo Bandinelli,4-3-1-2,Ermanno Feliciani,Report partita,,17.0,172.0,0.0,0,0,2023,Empoli
14,08-11-2022,18:30,Serie A,Giornata n. 14,Mar,Ospiti,P,0,2,Napoli,0.3,2.0,26.0,36.0,Filippo Bandinelli,4-3-1-2,Luca Pairetto,Report partita,,6.0,234.0,0.0,0,0,2023,Empoli
15,11-11-2022,20:45,Serie A,Giornata n. 15,Ven,Casa,V,2,0,Cremonese,2.2,1.3,49.0,8.077,Filippo Bandinelli,4-1-2-1-2◆,Federico Dionisi,Report partita,,13.0,159.0,1.0,0,0,2023,Empoli
16,04-01-2023,20:45,Serie A,Giornata n. 16,Mer,Ospiti,N,1,1,Udinese,0.4,1.9,40.0,19.237,Sebastiano Luperto,4-3-1-2,Marco Serra,Report partita,,6.0,174.0,0.0,0,0,2023,Empoli
17,08-01-2023,15:00,Serie A,Giornata n. 17,Dom,Ospiti,N,2,2,Lazio,0.6,0.9,46.0,31.0,Sebastiano Luperto,4-3-2-1,Ivan Pezzuto,Report partita,,5.0,134.0,0.0,0,0,2023,Empoli
18,16-01-2023,20:45,Serie A,Giornata n. 18,Lun,Casa,V,1,0,Sampdoria,1.4,0.9,50.0,10.364,Filippo Bandinelli,4-3-1-2,Alberto Santoro,Report partita,,16.0,143.0,0.0,0,0,2023,Empoli
19,23-01-2023,20:45,Serie A,Giornata n. 19,Lun,Ospiti,V,1,0,Inter,0.8,1.4,51.0,65.476,Filippo Bandinelli,4-3-1-2,Antonio Rapuano,Report partita,,13.0,183.0,1.0,0,0,2023,Empoli
20,28-01-2023,15:00,Serie A,Giornata n. 20,Sab,Casa,N,2,2,Torino,0.6,1.0,47.0,8.029,Filippo Bandinelli,4-3-1-2,Matteo Marcenaro,Report partita,,11.0,212.0,1.0,0,0,2023,Empoli
21,04-02-2023,18:00,Serie A,Giornata n. 21,Sab,Ospiti,P,0,2,Roma,1.7,1.2,55.0,60.908,Filippo Bandinelli,4-3-1-2,Federico Dionisi,Report partita,,11.0,189.0,1.0,0,0,2023,Empoli
22,11-02-2023,15:00,Serie A,Giornata n. 22,Sab,Casa,N,2,2,Spezia,1.6,1.5,64.0,7.871,Filippo Bandinelli,4-3-1-2,Antonio Giua,Report partita,,25.0,186.0,0.0,0,0,2023,Empoli
23,19-02-2023,15:00,Serie A,Giornata n. 23,Dom,Ospiti,N,1,1,Fiorentina,0.8,2.2,39.0,29.663,Filippo Bandinelli,4-3-1-2,Alessandro Prontera,Report partita,,5.0,159.0,0.0,0,0,2023,Empoli
24,25-02-2023,18:00,Serie A,Giornata n. 24,Sab,Casa,P,0,2,Napoli,0.6,2.5,45.0,12.624,Sebastiano Luperto,4-3-1-2,Giovanni Ayroldi,Report partita,,9.0,240.0,1.0,0,0,2023,Empoli
25,04-03-2023,15:00,Serie A,Giornata n. 25,Sab,Ospiti,P,1,2,Monza,1.0,0.7,57.0,10.601,Filippo Bandinelli,4-3-1-2,Ermanno Feliciani,Report partita,,18.0,206.0,0.0,0,0,2023,Empoli
26,11-03-2023,15:00,Serie A,Giornata n. 26,Sab,Casa,P,0,1,Udinese,1.2,1.4,61.0,7.465,Filippo Bandinelli,4-3-1-2,Francesco Cosso,Report partita,,17.0,176.0,1.0,0,0,2023,Empoli
27,17-03-2023,20:45,Serie A,Giornata n. 27,Ven,Ospiti,P,1,2,Atalanta,0.7,2.9,31.0,17.864,Sebastiano Luperto,4-3-1-2,Federico Dionisi,Report partita,,5.0,101.0,0.0,0,0,2023,Empoli
28,03-04-2023,18:30,Serie A,Giornata n. 28,Lun,Casa,V,1,0,Lecce,1.7,0.2,53.0,8.844,Filippo Bandinelli,4-3-1-2,Michael Fabbri,Report partita,,13.0,237.0,3.0,1,1,2023,Empoli
29,07-04-2023,21:00,Serie A,Giornata n. 29,Ven,Ospiti,N,0,0,Milan,0.1,1.9,30.0,70.286,Filippo Bandinelli,4-3-1-2,Matteo Marcenaro,Report partita,,2.0,173.0,0.0,0,0,2023,Empoli
30,14-04-2023,18:30,Serie A,Giornata n. 30,Ven,Ospiti,P,0,1,Cremonese,1.2,1.2,68.0,8.966,Filippo Bandinelli,4-3-1-2,Luca Zufferli,Report partita,,15.0,170.0,0.0,0,0,2023,Empoli
31,23-04-2023,12:30,Serie A,Giornata n. 31,Dom,Casa,P,0,3,Inter,0.9,1.1,40.0,15.337,Filippo Bandinelli,4-3-1-2,Livio Marinelli,Report partita,,11.0,170.0,0.0,0,0,2023,Empoli
32,30-04-2023,15:00,Serie A,Giornata n. 32,Dom,Ospiti,P,1,2,Sassuolo,0.4,1.8,43.0,10.267,Filippo Bandinelli,4-3-1-2,Federico Dionisi,Report partita,,7.0,181.0,1.0,0,0,2023,Empoli
33,04-05-2023,20:45,Serie A,Giornata n. 33,Gio,Casa,V,3,1,Bologna,1.0,2.0,28.0,8.349,Sebastiano Luperto,4-3-1-2,Federico La Penna,Report partita,,13.0,204.0,1.0,0,0,2023,Empoli
34,08-05-2023,18:30,Serie A,Giornata n. 34,Lun,Casa,V,2,1,Salernitana,1.8,0.7,49.0,10.76,Sebastiano Luperto,4-2-3-1,Manuel Volpi,Report partita,,11.0,116.0,0.0,0,0,2023,Empoli
35,15-05-2023,20:45,Serie A,Giornata n. 35,Lun,Ospiti,N,1,1,Sampdoria,1.6,1.3,58.0,16.867,Sebastiano Luperto,4-2-3-1,Ermanno Feliciani,Report partita,,17.0,166.0,0.0,0,0,2023,Empoli
36,22-05-2023,20:45,Serie A,Giornata n. 36,Lun,Casa,V,4,1,Juventus,2.7,1.8,39.0,15.519,Filippo Bandinelli,4-2-3-1,Giovanni Ayroldi,Report partita,,13.0,150.0,0.0,1,1,2023,Empoli
37,28-05-2023,12:30,Serie A,Giornata n. 37,Dom,Ospiti,N,1,1,Hellas Verona,1.2,1.0,62.0,22.831,Sebastiano Luperto,4-2-3-1,Daniele Chiffi,Report partita,,13.0,159.0,1.0,0,0,2023,Empoli
38,03-06-2023,21:00,Serie A,Giornata n. 38,Sab,Casa,P,0,2,Lazio,0.2,1.6,47.0,11.545,Filippo Bandinelli,4-2-3-1,Luca Massimi,Report partita,,7.0,203.0,0.0,0,0,2023,Empoli
1,14-08-2022,20:45,Serie A,Giornata n. 1,Dom,Casa,P,0,1,Roma,0.6,2.4,51.0,26.006,Federico Fazio,3-5-2,Simone Sozza,Report partita,,13.0,224.0,2.0,0,0,2023,Salernitana
2,20-08-2022,18:30,Serie A,Giornata n. 2,Sab,Ospiti,N,0,0,Udinese,1.5,1.1,52.0,17.054,Federico Fazio,3-5-2,Gianluca Aureliano,Report partita,,17.0,182.0,0.0,0,0,2023,Salernitana
3,28-08-2022,18:30,Serie A,Giornata n. 3,Dom,Casa,V,4,0,Sampdoria,1.7,1.8,45.0,19.116,Federico Fazio,3-5-2,Davide Massa,Report partita,,9.0,149.0,1.0,0,0,2023,Salernitana
4,01-09-2022,20:45,Serie A,Giornata n. 4,Gio,Ospiti,N,1,1,Bologna,1.4,1.8,53.0,19.787,Federico Fazio,3-5-2,Davide Ghersini,Report partita,,20.0,175.0,0.0,0,0,2023,Salernitana
5,05-09-2022,18:30,Serie A,Giornata n. 5,Lun,Casa,N,2,2,Empoli,1.3,0.9,51.0,18.173,Federico Fazio,3-5-2,Rosario Abisso,Report partita,,15.0,191.0,0.0,0,0,2023,Salernitana
6,11-09-2022,20:45,Serie A,Giornata n. 6,Dom,Ospiti,N,2,2,Juventus,1.6,1.9,39.0,35.097,Federico Fazio,3-5-2,Matteo Marcenaro,Report partita,,10.0,236.0,0.0,1,1,2023,Salernitana
7,16-09-2022,20:45,Serie A,Giornata n. 7,Ven,Casa,P,1,2,Lecce,1.2,1.5,58.0,19.488,Pasquale Mazzocchi,3-5-2,Daniele Doveri,Report partita,,8.0,126.0,0.0,0,0,2023,Salernitana
8,02-10-2022,15:00,Serie A,Giornata n. 8,Dom,Ospiti,P,0,5,Sassuolo,0.5,3.2,56.0,15.786,Pasquale Mazzocchi,3-5-2,Maria Sole Ferrieri Caputi,Report partita,,6.0,210.0,0.0,0,0,2023,Salernitana
9,09-10-2022,15:00,Serie A,Giornata n. 9,Dom,Casa,V,2,1,Hellas Verona,1.1,0.9,40.0,15.922,Ivan Radovanović,3-5-2,Davide Ghersini,Report partita,,14.0,217.0,1.0,0,0,2023,Salernitana
10,16-10-2022,12:30,Serie A,Giornata n. 10,Dom,Ospiti,P,0,2,Inter,0.4,1.7,39.0,75.452,Pasquale Mazzocchi,5-3-2,Juan Sacchi,Report partita,,8.0,228.0,1.0,0,0,2023,Salernitana
11,22-10-2022,15:00,Serie A,Giornata n. 11,Sab,Casa,V,1,0,Spezia,1.6,0.9,44.0,17.26,Federico Fazio,3-5-2,Daniele Chiffi,Report partita,,17.0,177.0,0.0,0,0,2023,Salernitana
12,30-10-2022,18:00,Serie A,Giornata n. 12,Dom,Ospiti,V,3,1,Lazio,1.5,1.9,39.0,40.0,Federico Fazio,3-5-2,Gianluca Manganiello,Report partita,,10.0,190.0,0.0,0,0,2023,Salernitana
13,05-11-2022,15:00,Serie A,Giornata n. 13,Sab,Casa,N,2,2,Cremonese,1.3,1.7,51.0,16.78,Federico Fazio,3-5-2,Matteo Marchetti,Report partita,,10.0,209.0,0.0,0,0,2023,Salernitana
14,09-11-2022,20:45,Serie A,Giornata n. 14,Mer,Ospiti,P,1,2,Fiorentina,0.5,2.8,42.0,27.329,Pasquale Mazzocchi,3-5-2,Federico La Penna,Report partita,,4.0,150.0,0.0,0,0,2023,Salernitana
15,13-11-2022,15:00,Serie A,Giornata n. 15,Dom,Ospiti,P,0,3,Monza,0.2,2.4,43.0,12.372,Pasquale Mazzocchi,3-5-2,Antonio Giua,Report partita,,5.0,193.0,1.0,0,0,2023,Salernitana
16,04-01-2023,12:30,Serie A,Giornata n. 16,Mer,Casa,P,1,2,Milan,0.7,2.7,44.0,29.541,Federico Fazio,3-5-2,Francesco Fourneau,Report partita,,8.0,159.0,0.0,0,0,2023,Salernitana
17,08-01-2023,12:30,Serie A,Giornata n. 17,Dom,Casa,N,1,1,Torino,0.8,2.2,38.0,16.3,Federico Fazio,3-1-4-2,Andrea Colombo,Report partita,,11.0,184.0,0.0,0,0,2023,Salernitana
18,15-01-2023,18:00,Serie A,Giornata n. 18,Dom,Ospiti,P,2,8,Atalanta,1.0,2.9,43.0,18.499,Federico Fazio,3-4-1-2,Gianluca Aureliano,Report partita,,7.0,170.0,0.0,0,0,2023,Salernitana
19,21-01-2023,18:00,Serie A,Giornata n. 19,Sab,Casa,P,0,2,Napoli,0.4,1.4,26.0,18.555,Norbert Gyömbér,4-5-1,Daniele Chiffi,Report partita,,5.0,148.0,0.0,0,0,2023,Salernitana
20,27-01-2023,20:45,Serie A,Giornata n. 20,Ven,Ospiti,V,2,1,Lecce,0.9,1.4,41.0,24.446,Antonio Candreva,4-3-3,Davide Massa,Report partita,,10.0,238.0,2.0,0,0,2023,Salernitana
21,07-02-2023,20:45,Serie A,Giornata n. 21,Mar,Casa,P,0,3,Juventus,0.8,2.2,53.0,26.945,Antonio Candreva,4-3-3,Antonio Rapuano,Report partita,,10.0,218.0,0.0,0,0,2023,Salernitana
22,13-02-2023,18:30,Serie A,Giornata n. 22,Lun,Ospiti,P,0,1,Hellas Verona,0.9,1.2,63.0,17.832,Luigi Sepe,3-4-1-2,Paolo Valeri,Report partita,,8.0,223.0,1.0,0,0,2023,Salernitana
23,19-02-2023,15:00,Serie A,Giornata n. 23,Dom,Casa,P,0,2,Lazio,0.4,3.0,35.0,14.86,Antonio Candreva,3-4-3,Rosario Abisso,Report partita,,9.0,165.0,0.0,0,0,2023,Salernitana
24,26-02-2023,15:00,Serie A,Giornata n. 24,Dom,Casa,V,3,0,Monza,2.4,1.4,38.0,14.947,Antonio Candreva,3-4-3,Livio Marinelli,Report partita,,12.0,149.0,0.0,0,0,2023,Salernitana
25,05-03-2023,15:00,Serie A,Giornata n. 25,Dom,Ospiti,N,0,0,Sampdoria,0.8,0.5,44.0,20.353,Antonio Candreva,3-4-3,Davide Massa,Report partita,,10.0,161.0,1.0,0,0,2023,Salernitana
26,13-03-2023,20:45,Serie A,Giornata n. 26,Lun,Ospiti,N,1,1,Milan,0.8,2.2,36.0,71.87,Pasquale Mazzocchi,3-4-3,Federico La Penna,Report partita,,6.0,187.0,0.0,0,0,2023,Salernitana
27,18-03-2023,18:00,Serie A,Giornata n. 27,Sab,Casa,N,2,2,Bologna,0.9,0.4,42.0,18.6,Pasquale Mazzocchi,3-4-3,Luca Pairetto,Report partita,,14.0,171.0,0.0,0,0,2023,Salernitana
28,02-04-2023,15:00,Serie A,Giornata n. 28,Dom,Ospiti,N,1,1,Spezia,1.1,2.0,49.0,10.723,Antonio Candreva,3-4-3,Daniele Orsato,Report partita,,12.0,167.0,0.0,0,0,2023,Salernitana
29,07-04-2023,17:00,Serie A,Giornata n. 29,Ven,Casa,N,1,1,Inter,1.1,2.8,44.0,23.702,Antonio Candreva,3-4-3,Michael Fabbri,Report partita,,11.0,193.0,0.0,0,0,2023,Salernitana
30,16-04-2023,15:00,Serie A,Giornata n. 30,Dom,Ospiti,N,1,1,Torino,0.7,1.7,37.0,21.122,Antonio Candreva,3-4-3,Gianluca Aureliano,Report partita,,8.0,160.0,0.0,0,0,2023,Salernitana
31,22-04-2023,15:00,Serie A,Giornata n. 31,Sab,Casa,V,3,0,Sassuolo,1.3,0.7,47.0,23.06,Antonio Candreva,3-4-3,Giacomo Camplone,Report partita,,13.0,159.0,0.0,0,0,2023,Salernitana
32,30-04-2023,15:00,Serie A,Giornata n. 32,Dom,Ospiti,N,1,1,Napoli,0.3,1.6,27.0,54.726,Pasquale Mazzocchi,3-4-3,Matteo Marcenaro,Report partita,,5.0,180.0,0.0,0,0,2023,Salernitana
33,03-05-2023,18:00,Serie A,Giornata n. 33,Mer,Casa,N,3,3,Fiorentina,1.1,1.9,47.0,17.868,Pasquale Mazzocchi,3-4-3,Ivan Pezzuto,Report partita,,3.0,241.0,0.0,1,1,2023,Salernitana
34,08-05-2023,18:30,Serie A,Giornata n. 34,Lun,Ospiti,P,1,2,Empoli,0.7,1.8,51.0,10.76,Pasquale Mazzocchi,3-4-3,Manuel Volpi,Report partita,,13.0,194.0,0.0,0,0,2023,Salernitana
35,13-05-2023,15:00,Serie A,Giornata n. 35,Sab,Casa,V,1,0,Atalanta,0.5,1.2,52.0,17.4,Pasquale Mazzocchi,3-4-3,Marco Piccinini,Report partita,,10.0,217.0,1.0,0,0,2023,Salernitana
36,22-05-2023,18:30,Serie A,Giornata n. 36,Lun,Ospiti,N,2,2,Roma,1.1,1.4,41.0,64.286,Antonio Candreva,3-4-3,Andrea Colombo,Report partita,,8.0,225.0,0.0,0,0,2023,Salernitana
37,27-05-2023,15:00,Serie A,Giornata n. 37,Sab,Casa,V,3,2,Udinese,1.2,2.3,48.0,27.035,Pasquale Mazzocchi,3-4-3,Niccolò Baroni,Report partita,,11.0,218.0,2.0,0,0,2023,Salernitana
